Protein_ID;Gene Name;log2_FC;p_val;p_adj;significant;WT_vs_DPP4_significant;imputed;num_NAs;Protein.Names.x;Protein.Names.y
P41229;KDM5C;0.735;0.012;0.0323;FALSE;FALSE;TRUE;2;KDM5C;Lysine-specific demethylase 5C
P41236;PPP1R2;0.693;4.45E-08;0.000000588;FALSE;FALSE;FALSE;0;IPP2;Protein phosphatase inhibitor 2
P41240;CSK;0.145;0.0193;0.0483;FALSE;FALSE;FALSE;0;CSK;Tyrosine-protein kinase CSK
P41247;PNPLA4;-0.209;0.107;0.197;FALSE;FALSE;FALSE;0;PLPL4;Patatin-like phospholipase domain-containing protein 4
P41250;GARS1;-0.801;1.18E-13;8.95E-12;FALSE;FALSE;FALSE;0;GARS;Glycine--tRNA ligase
P41252;IARS1;-0.0859;0.191;0.307;FALSE;FALSE;FALSE;0;SYIC;Isoleucine--tRNA ligase, cytoplasmic
P41440;SLC19A1;-0.304;0.0299;0.0696;FALSE;FALSE;FALSE;0;S19A1;Reduced folate transporter
P41567;EIF1;-0.0286;0.815;0.881;FALSE;FALSE;FALSE;0;EIF1;Eukaryotic translation initiation factor 1
P41743;PRKCI;0.191;0.534;0.659;FALSE;FALSE;FALSE;0;KPCI;Protein kinase C iota type
P42025;ACTR1B;0.746;0.0837;0.162;FALSE;FALSE;TRUE;6;ACTY;Beta-centractin
P42126;ECI1;-0.286;0.0111;0.0301;FALSE;FALSE;FALSE;0;ECI1;Enoyl-CoA delta isomerase 1, mitochondrial
P42166;TMPO;0.551;0.000347;0.00155;FALSE;FALSE;FALSE;0;LAP2A;Lamina-associated polypeptide 2, isoform alpha
P42224;STAT1;0.225;0.0000088;0.0000635;FALSE;FALSE;FALSE;0;STAT1;Signal transducer and activator of transcription 1-alpha/beta
P42226;STAT6;0.657;0.00916;0.0258;FALSE;FALSE;TRUE;7;STAT6;Signal transducer and activator of transcription 6
P42285;MTREX;-0.478;0.0000987;0.00053;FALSE;FALSE;FALSE;0;MTREX;Exosome RNA helicase MTR4
P42336;PIK3CA;0.57;0.0229;0.0557;FALSE;FALSE;TRUE;3;PK3CA;Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform
P42338;PIK3CB;0.128;0.556;0.677;FALSE;FALSE;TRUE;1;PK3CB;Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform
P42345;MTOR;0.457;0.47;0.601;FALSE;FALSE;FALSE;0;MTOR;Serine/threonine-protein kinase mTOR
P42356;PI4KA;0.528;0.069;0.139;FALSE;FALSE;TRUE;1;PI4KA;Phosphatidylinositol 4-kinase alpha
P42566;EPS15;-0.216;0.169;0.28;FALSE;FALSE;FALSE;0;EPS15;Epidermal growth factor receptor substrate 15
P42574;CASP3;-0.0772;0.745;0.83;FALSE;FALSE;FALSE;0;CASP3;Caspase-3
P42575;CASP2;0.126;0.453;0.585;FALSE;FALSE;FALSE;0;CASP2;Caspase-2
P42677;RPS27;-0.225;0.0131;0.0348;FALSE;FALSE;FALSE;0;RS27;Small ribosomal subunit protein eS27
P42694;HELZ;0.205;0.207;0.327;FALSE;FALSE;FALSE;0;HELZ;Probable helicase with zinc finger domain
P42695;NCAPD3;-0.208;0.00275;0.00926;FALSE;FALSE;FALSE;0;CNDD3;Condensin-2 complex subunit D3
P42696;RBM34;-0.0811;0.515;0.642;FALSE;FALSE;FALSE;0;RBM34;RNA-binding protein 34
P42704;LRPPRC;0.0465;0.459;0.591;FALSE;FALSE;FALSE;0;LPPRC;Leucine-rich PPR motif-containing protein, mitochondrial
P42765;ACAA2;-0.277;0.000834;0.00336;FALSE;FALSE;FALSE;0;THIM;3-ketoacyl-CoA thiolase, mitochondrial
P42766;RPL35;-0.191;0.345;0.481;FALSE;FALSE;FALSE;0;RL35;Large ribosomal subunit protein uL29
P42773;CDKN2C;0.826;0.00000079;0.00000745;FALSE;FALSE;FALSE;0;CDN2C;Cyclin-dependent kinase 4 inhibitor C
P42785;PRCP;-0.0988;0.634;0.744;FALSE;FALSE;FALSE;0;PCP;Lysosomal Pro-X carboxypeptidase
P42858;HTT;0.631;0.00000759;0.0000558;FALSE;FALSE;FALSE;0;HD;Huntingtin
P42892;ECE1;0.241;0.29;0.421;FALSE;FALSE;FALSE;0;ECE1;Endothelin-converting enzyme 1
P43003;SLC1A3;-0.308;0.271;0.4;FALSE;FALSE;TRUE;14;EAA1;Excitatory amino acid transporter 1
P43007;SLC1A4;-0.323;0.24;0.367;FALSE;FALSE;TRUE;3;SATT;Neutral amino acid transporter A
P43034;PAFAH1B1;-0.653;0.000000864;0.00000804;FALSE;FALSE;FALSE;0;LIS1;Platelet-activating factor acetylhydrolase IB subunit beta
P43121;MCAM;-0.499;0.0000158;0.000108;FALSE;FALSE;FALSE;0;MUC18;Cell surface glycoprotein MUC18
P43243;MATR3;-0.118;0.196;0.314;FALSE;FALSE;FALSE;0;MATR3;Matrin-3
P43246;MSH2;-0.00624;0.959;0.974;FALSE;FALSE;FALSE;0;MSH2;DNA mismatch repair protein Msh2
P43304;GPD2;-0.145;0.0941;0.177;FALSE;FALSE;FALSE;0;GPDM;Glycerol-3-phosphate dehydrogenase, mitochondrial
P43307;SSR1;-0.237;0.505;0.634;FALSE;FALSE;FALSE;0;SSRA;Translocon-associated protein subunit alpha
P43378;PTPN9;-0.124;0.607;0.722;FALSE;FALSE;TRUE;9;PTN9;Tyrosine-protein phosphatase non-receptor type 9
P43487;RANBP1;-0.222;0.0588;0.122;FALSE;FALSE;FALSE;0;RANG;Ran-specific GTPase-activating protein
P43490;NAMPT;-0.716;4.94E-10;1.19E-08;FALSE;FALSE;FALSE;0;NAMPT;Nicotinamide phosphoribosyltransferase
P43686;PSMC4;0.168;0.151;0.258;FALSE;FALSE;FALSE;0;PRS6B;26S proteasome regulatory subunit 6B
P43897;TSFM;-0.23;0.0283;0.0665;FALSE;FALSE;FALSE;0;EFTS;Elongation factor Ts, mitochondrial
P45880;VDAC2;0.13;0.205;0.325;FALSE;FALSE;FALSE;0;VDAC2;Voltage-dependent anion-selective channel protein 2
P45954;ACADSB;0.478;0.00253;0.00862;FALSE;FALSE;FALSE;0;ACDSB;Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial
P45973;CBX5;0.441;0.0000128;0.0000893;FALSE;FALSE;FALSE;0;CBX5;Chromobox protein homolog 5
P45974;USP5;-0.226;0.00276;0.00927;FALSE;FALSE;FALSE;0;UBP5;Ubiquitin carboxyl-terminal hydrolase 5
P45984;MAPK9;-0.255;0.319;0.453;FALSE;FALSE;FALSE;0;MK09;Mitogen-activated protein kinase 9
P45985;MAP2K4;-0.479;0.0101;0.028;FALSE;FALSE;FALSE;0;MP2K4;Dual specificity mitogen-activated protein kinase kinase 4
P46020;PHKA1;0.153;0.269;0.399;FALSE;FALSE;FALSE;0;KPB1;Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform
P46060;RANGAP1;-0.0664;0.732;0.821;FALSE;FALSE;FALSE;0;RAGP1;Ran GTPase-activating protein 1
P46063;RECQL;-0.0168;0.826;0.887;FALSE;FALSE;FALSE;0;RECQ1;ATP-dependent DNA helicase Q1
P46087;NOP2;-0.222;0.0182;0.0459;FALSE;FALSE;FALSE;0;NOP2;28S rRNA (cytosine(4447)-C(5))-methyltransferase
P46100;ATRX;0.295;0.0167;0.0428;FALSE;FALSE;FALSE;0;ATRX;Transcriptional regulator ATRX
P46108;CRK;-0.352;0.243;0.369;FALSE;FALSE;FALSE;0;CRK;Adapter molecule crk
P46109;CRKL;0.0231;0.895;0.935;FALSE;FALSE;FALSE;0;CRKL;Crk-like protein
P46199;MTIF2;0.413;0.000402;0.00177;FALSE;FALSE;FALSE;0;IF2M;Translation initiation factor IF-2, mitochondrial
P46379;BAG6;-0.233;0.00025;0.00118;FALSE;FALSE;FALSE;0;BAG6;Large proline-rich protein BAG6
P46459;NSF;0.974;2.11E-10;5.79E-09;FALSE;FALSE;FALSE;0;NSF;Vesicle-fusing ATPase
P46734;MAP2K3;-0.148;0.169;0.281;FALSE;FALSE;FALSE;0;MP2K3;Dual specificity mitogen-activated protein kinase kinase 3
P46736;BRCC3;0.0892;0.598;0.714;FALSE;FALSE;FALSE;0;BRCC3;Lys-63-specific deubiquitinase BRCC36
P46776;RPL27A;-0.000309;0.998;0.999;FALSE;FALSE;FALSE;0;RL27A;Large ribosomal subunit protein uL15
P46777;RPL5;-0.000186;0.999;0.999;FALSE;FALSE;FALSE;0;RL5;Large ribosomal subunit protein uL18
P46778;RPL21;-0.21;0.023;0.056;FALSE;FALSE;FALSE;0;RL21;Large ribosomal subunit protein eL21
P46779;RPL28;-0.0865;0.278;0.408;FALSE;FALSE;FALSE;0;RL28;Large ribosomal subunit protein eL28
P46781;RPS9;-0.159;0.195;0.312;FALSE;FALSE;FALSE;0;RS9;Small ribosomal subunit protein uS4
P46782;RPS5;-0.391;0.0222;0.0544;FALSE;FALSE;FALSE;0;RS5;Small ribosomal subunit protein uS7
P46783;RPS10;-0.356;0.00117;0.00449;FALSE;FALSE;FALSE;0;RS10;Small ribosomal subunit protein eS10
P46926;GNPDA1;0.245;0.0942;0.178;FALSE;FALSE;FALSE;0;GNPI1;Glucosamine-6-phosphate isomerase 1
P46934;NEDD4;-0.318;0.0365;0.0823;FALSE;FALSE;FALSE;0;NEDD4;E3 ubiquitin-protein ligase NEDD4
P46937;YAP1;0.049;0.752;0.835;FALSE;FALSE;FALSE;0;YAP1;Transcriptional coactivator YAP1
P46939;UTRN;0.875;1.48E-12;7.73E-11;FALSE;FALSE;FALSE;0;UTRN;Utrophin
P46940;IQGAP1;-0.377;0.00858;0.0243;FALSE;FALSE;FALSE;0;IQGA1;Ras GTPase-activating-like protein IQGAP1
P46976;GYG1;0.184;0.262;0.391;FALSE;FALSE;FALSE;0;GLYG;Glycogenin-1
P46977;STT3A;-0.448;0.0103;0.0284;FALSE;FALSE;FALSE;0;STT3A;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A
P47224;RABIF;0.181;0.475;0.606;FALSE;FALSE;FALSE;0;MSS4;Guanine nucleotide exchange factor MSS4
P47712;PLA2G4A;0.406;0.0146;0.0382;FALSE;FALSE;FALSE;0;PA24A;Cytosolic phospholipase A2
P47755;CAPZA2;0.983;0.0000374;0.000228;FALSE;FALSE;FALSE;0;CAZA2;F-actin-capping protein subunit alpha-2
P47756;CAPZB;0.301;0.0752;0.149;FALSE;FALSE;FALSE;0;CAPZB;F-actin-capping protein subunit beta
P47813;EIF1AX;-0.31;0.177;0.29;FALSE;FALSE;FALSE;0;IF1AX;Eukaryotic translation initiation factor 1A, X-chromosomal
P47895;ALDH1A3;0.211;0.0386;0.0859;FALSE;FALSE;FALSE;0;AL1A3;Retinaldehyde dehydrogenase 3
P47897;QARS1;-0.0988;0.0434;0.0947;FALSE;FALSE;FALSE;0;SYQ;Glutamine--tRNA ligase
P47914;RPL29;-0.221;0.253;0.382;FALSE;FALSE;FALSE;0;RL29;Large ribosomal subunit protein eL29
P47974;ZFP36L2;0.0842;0.815;0.881;FALSE;FALSE;TRUE;11;TISD;mRNA decay activator protein ZFP36L2
P47985;UQCRFS1;0.0621;0.327;0.462;FALSE;FALSE;FALSE;0;UCRI;Cytochrome b-c1 complex subunit Rieske, mitochondrial
P48047;ATP5PO;0.314;0.137;0.239;FALSE;FALSE;FALSE;0;ATPO;ATP synthase subunit O, mitochondrial
P48059;LIMS1;0.24;0.0308;0.0714;FALSE;FALSE;FALSE;0;LIMS1;LIM and senescent cell antigen-like-containing domain protein 1
P48060;GLIPR1;-0.292;0.119;0.214;FALSE;FALSE;TRUE;4;GLIP1;Glioma pathogenesis-related protein 1
P48147;PREP;-0.305;0.00825;0.0236;FALSE;FALSE;FALSE;0;PPCE;Prolyl endopeptidase
P48163;ME1;0.0497;0.498;0.629;FALSE;FALSE;FALSE;0;MAOX;NADP-dependent malic enzyme
P48200;IREB2;-0.135;0.356;0.492;FALSE;FALSE;FALSE;0;IREB2;Iron-responsive element-binding protein 2
P48307;TFPI2;-0.267;0.381;0.517;FALSE;FALSE;TRUE;3;TFPI2;Tissue factor pathway inhibitor 2
P48382;RFX5;-0.234;0.0571;0.119;FALSE;FALSE;FALSE;0;RFX5;DNA-binding protein RFX5
P48426;PIP4K2A;0.705;0.000863;0.00346;FALSE;FALSE;FALSE;0;PI42A;Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
P48436;SOX9;-0.0964;0.443;0.576;FALSE;FALSE;FALSE;0;SOX9;Transcription factor SOX-9
P48444;ARCN1;-0.0981;0.194;0.312;FALSE;FALSE;FALSE;0;COPD;Coatomer subunit delta
P48449;LSS;-0.184;0.108;0.198;FALSE;FALSE;FALSE;0;LSS;Lanosterol synthase
P48506;GCLC;-0.379;0.0197;0.0493;FALSE;FALSE;FALSE;0;GSH1;Glutamate--cysteine ligase catalytic subunit
P48507;GCLM;-0.649;1.75E-09;3.64E-08;FALSE;FALSE;FALSE;0;GSH0;Glutamate--cysteine ligase regulatory subunit
P48509;CD151;0.722;0.102;0.189;FALSE;FALSE;FALSE;0;CD151;CD151 antigen
P48553;TRAPPC10;0.539;0.022;0.0541;FALSE;FALSE;TRUE;2;TPC10;Trafficking protein particle complex subunit 10
P48556;PSMD8;-0.144;0.697;0.793;FALSE;FALSE;FALSE;0;PSMD8;26S proteasome non-ATPase regulatory subunit 8
P48634;PRRC2A;-0.397;0.00000182;0.0000156;FALSE;FALSE;FALSE;0;PRC2A;Protein PRRC2A
P48637;GSS;-0.0317;0.658;0.762;FALSE;FALSE;FALSE;0;GSHB;Glutathione synthetase
P48643;CCT5;-0.0302;0.498;0.629;FALSE;FALSE;FALSE;0;TCPE;T-complex protein 1 subunit epsilon
P48651;PTDSS1;0.232;0.114;0.208;FALSE;FALSE;FALSE;0;PTSS1;Phosphatidylserine synthase 1
P48681;NES;0.906;2.99E-14;3.17E-12;FALSE;FALSE;FALSE;0;NEST;Nestin
P48723;HSPA13;0.0565;0.519;0.645;FALSE;FALSE;FALSE;0;HSP13;Heat shock 70 kDa protein 13
P48729;CSNK1A1;-0.237;0.000077;0.000427;FALSE;FALSE;FALSE;0;KC1A;Casein kinase I isoform alpha
P48730;CSNK1D;0.0216;0.774;0.851;FALSE;FALSE;FALSE;0;KC1D;Casein kinase I isoform delta
P48735;IDH2;-0.209;0.00427;0.0134;FALSE;FALSE;FALSE;0;IDHP;Isocitrate dehydrogenase [NADP], mitochondrial
P48739;PITPNB;-0.196;0.102;0.189;FALSE;FALSE;FALSE;0;PIPNB;Phosphatidylinositol transfer protein beta isoform
P48960;ADGRE5;-0.0721;0.333;0.467;FALSE;FALSE;FALSE;0;AGRE5;Adhesion G protein-coupled receptor E5
P49005;POLD2;-0.0558;0.513;0.641;FALSE;FALSE;FALSE;0;DPOD2;DNA polymerase delta subunit 2
P49006;MARCKSL1;0.393;0.0000437;0.000261;FALSE;FALSE;FALSE;0;MRP;MARCKS-related protein
P49023;PXN;0.783;1.22E-08;0.000000185;FALSE;FALSE;FALSE;0;PAXI;Paxillin
P49069;CAMLG;0.804;0.0608;0.125;FALSE;FALSE;TRUE;3;CAMLG;Guided entry of tail-anchored proteins factor CAMLG
P49137;MAPKAPK2;0.00286;0.995;0.998;FALSE;FALSE;FALSE;0;MAPK2;MAP kinase-activated protein kinase 2
P49189;ALDH9A1;0.0654;0.206;0.327;FALSE;FALSE;FALSE;0;AL9A1;4-trimethylaminobutyraldehyde dehydrogenase
P49207;RPL34;-0.342;0.125;0.222;FALSE;FALSE;FALSE;0;RL34;Large ribosomal subunit protein eL34
P49247;RPIA;-0.683;0.000939;0.00371;FALSE;FALSE;FALSE;0;RPIA;Ribose-5-phosphate isomerase
P49257;LMAN1;0.338;0.102;0.19;FALSE;FALSE;FALSE;0;LMAN1;Protein ERGIC-53
P49321;NASP;-0.671;9.32E-08;0.00000112;FALSE;FALSE;FALSE;0;NASP;Nuclear autoantigenic sperm protein
P49327;FASN;-0.287;0.000479;0.00206;FALSE;FALSE;FALSE;0;FAS;Fatty acid synthase
P49354;FNTA;0.0916;0.302;0.435;FALSE;FALSE;FALSE;0;FNTA;Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
P49356;FNTB;0.0698;0.571;0.69;FALSE;FALSE;FALSE;0;FNTB;Protein farnesyltransferase subunit beta
P49366;DHPS;-0.503;0.0134;0.0355;FALSE;FALSE;FALSE;0;DHYS;Deoxyhypusine synthase
P49368;CCT3;0.0112;0.823;0.885;FALSE;FALSE;FALSE;0;TCPG;T-complex protein 1 subunit gamma
P49406;MRPL19;0.0557;0.813;0.879;FALSE;FALSE;FALSE;0;RM19;Large ribosomal subunit protein bL19m
P49407;ARRB1;0.0168;0.844;0.9;FALSE;FALSE;FALSE;0;ARRB1;Beta-arrestin-1
P49411;TUFM;-0.326;0.000422;0.00185;FALSE;FALSE;FALSE;0;EFTU;Elongation factor Tu, mitochondrial
P49427;CDC34;0.166;0.33;0.464;FALSE;FALSE;FALSE;0;UB2R1;Ubiquitin-conjugating enzyme E2 R1
P49441;INPP1;0.857;0.0127;0.0337;FALSE;FALSE;TRUE;2;INPP;Inositol polyphosphate 1-phosphatase
P49454;CENPF;-0.816;0.00000663;0.0000496;FALSE;FALSE;FALSE;0;CENPF;Centromere protein F
P49458;SRP9;0.728;0.0155;0.0401;FALSE;FALSE;FALSE;0;SRP09;Signal recognition particle 9 kDa protein
P49459;UBE2A;-0.171;0.315;0.449;FALSE;FALSE;FALSE;0;UBE2A;Ubiquitin-conjugating enzyme E2 A
P49585;PCYT1A;0.437;0.00336;0.011;FALSE;FALSE;FALSE;0;PCY1A;Choline-phosphate cytidylyltransferase A
P49588;AARS1;-0.223;0.000317;0.00144;FALSE;FALSE;FALSE;0;SYAC;Alanine--tRNA ligase, cytoplasmic
P49589;CARS1;-0.232;0.00745;0.0216;FALSE;FALSE;FALSE;0;SYCC;Cysteine--tRNA ligase, cytoplasmic
P49590;HARS2;0.348;0.0148;0.0386;FALSE;FALSE;FALSE;0;SYHM;Histidine--tRNA ligase, mitochondrial
P49591;SARS1;-0.477;1.85E-08;0.000000272;FALSE;FALSE;FALSE;0;SYSC;Serine--tRNA ligase, cytoplasmic
P49593;PPM1F;0.337;0.0152;0.0394;FALSE;FALSE;FALSE;0;PPM1F;Protein phosphatase 1F
P49642;PRIM1;-0.298;0.132;0.232;FALSE;FALSE;FALSE;0;PRI1;DNA primase small subunit
P49643;PRIM2;-0.386;0.00000102;0.00000928;FALSE;FALSE;FALSE;0;PRI2;DNA primase large subunit
P49662;CASP4;0.439;0.0397;0.0879;FALSE;FALSE;TRUE;3;CASP4;Caspase-4
P49711;CTCF;-0.0522;0.76;0.841;FALSE;FALSE;FALSE;0;CTCF;Transcriptional repressor CTCF
P49720;PSMB3;-0.101;0.162;0.272;FALSE;FALSE;FALSE;0;PSB3;Proteasome subunit beta type-3
P49721;PSMB2;-0.303;0.00309;0.0102;FALSE;FALSE;FALSE;0;PSB2;Proteasome subunit beta type-2
P49736;MCM2;-0.481;0.00647;0.0191;FALSE;FALSE;FALSE;0;MCM2;DNA replication licensing factor MCM2
P49748;ACADVL;0.243;0.1;0.187;FALSE;FALSE;FALSE;0;ACADV;Very long-chain specific acyl-CoA dehydrogenase, mitochondrial
P49750;YLPM1;0.142;0.0105;0.0289;FALSE;FALSE;FALSE;0;YLPM1;YLP motif-containing protein 1
P49754;VPS41;0.408;0.0248;0.0595;FALSE;FALSE;FALSE;0;VPS41;Vacuolar protein sorting-associated protein 41 homolog
P49755;TMED10;-0.116;0.0791;0.155;FALSE;FALSE;FALSE;0;TMEDA;Transmembrane emp24 domain-containing protein 10
P49756;RBM25;-0.119;0.221;0.345;FALSE;FALSE;FALSE;0;RBM25;RNA-binding protein 25
P49757;NUMB;0.344;0.00000267;0.0000219;FALSE;FALSE;FALSE;0;NUMB;Protein numb homolog
P49768;PSEN1;0.253;0.00465;0.0143;FALSE;FALSE;FALSE;0;PSN1;Presenilin-1
P49770;EIF2B2;0.67;8.26E-09;0.000000133;FALSE;FALSE;FALSE;0;EI2BB;Translation initiation factor eIF2B subunit beta
P49773;HINT1;0.111;0.308;0.441;FALSE;FALSE;FALSE;0;HINT1;Adenosine 5'-monophosphoramidase HINT1
P49790;NUP153;-0.29;0.000924;0.00366;FALSE;FALSE;FALSE;0;NU153;Nuclear pore complex protein Nup153
P49792;RANBP2;0.0429;0.461;0.593;FALSE;FALSE;FALSE;0;RBP2;E3 SUMO-protein ligase RanBP2
P49795;RGS19;-0.0646;0.526;0.652;FALSE;FALSE;FALSE;0;RGS19;Regulator of G-protein signaling 19
P49821;NDUFV1;0.143;0.138;0.24;FALSE;FALSE;FALSE;0;NDUV1;NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial
P49840;GSK3A;-0.173;0.409;0.544;FALSE;FALSE;FALSE;0;GSK3A;Glycogen synthase kinase-3 alpha
P49841;GSK3B;-0.113;0.104;0.192;FALSE;FALSE;FALSE;0;GSK3B;Glycogen synthase kinase-3 beta
P49848;TAF6;-0.818;0.0856;0.165;FALSE;FALSE;FALSE;0;TAF6;Transcription initiation factor TFIID subunit 6
P49902;NT5C2;0.552;4.64E-08;0.000000609;FALSE;FALSE;FALSE;0;5NTC;Cytosolic purine 5'-nucleotidase
P49903;SEPHS1;-0.257;0.00277;0.00928;FALSE;FALSE;FALSE;0;SPS1;Selenide, water dikinase 1
P49915;GMPS;0.0764;0.345;0.481;FALSE;FALSE;FALSE;0;GUAA;GMP synthase [glutamine-hydrolyzing]
P49916;LIG3;0.496;0.00000128;0.0000114;FALSE;FALSE;FALSE;0;DNLI3;DNA ligase 3
P49917;LIG4;-0.331;0.329;0.463;FALSE;FALSE;TRUE;12;DNLI4;DNA ligase 4
P49959;MRE11;0.159;0.116;0.211;FALSE;FALSE;FALSE;0;MRE11;Double-strand break repair protein MRE11
P50151;GNG10;0.91;0.000185;0.00091;FALSE;FALSE;FALSE;0;GBG10;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10
P50213;IDH3A;-0.414;5.66E-08;0.000000724;FALSE;FALSE;FALSE;0;IDH3A;Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial
P50281;MMP14;-0.232;0.0349;0.0794;FALSE;FALSE;FALSE;0;MMP14;Matrix metalloproteinase-14
P50336;PPOX;0.807;0.000271;0.00126;FALSE;FALSE;FALSE;0;PPOX;Protoporphyrinogen oxidase
P50395;GDI2;-0.0388;0.364;0.5;FALSE;FALSE;FALSE;0;GDIB;Rab GDP dissociation inhibitor beta
P50402;EMD;0.347;0.0000153;0.000105;FALSE;FALSE;FALSE;0;EMD;Emerin
P50416;CPT1A;0.0499;0.388;0.523;FALSE;FALSE;FALSE;0;CPT1A;Carnitine O-palmitoyltransferase 1, liver isoform
P50443;SLC26A2;-0.443;0.0856;0.165;FALSE;FALSE;FALSE;0;S26A2;Sulfate transporter
P50452;SERPINB8;0.00895;0.945;0.966;FALSE;FALSE;FALSE;0;SPB8;Serpin B8
P50454;SERPINH1;-0.467;0.000161;0.000805;FALSE;FALSE;FALSE;0;SERPH;Serpin H1
P50479;PDLIM4;0.267;0.11;0.201;FALSE;FALSE;FALSE;0;PDLI4;PDZ and LIM domain protein 4
P50502;ST13;0.00453;0.989;0.993;FALSE;FALSE;FALSE;0;F10A1;Hsc70-interacting protein
P50542;PEX5;-0.118;0.664;0.767;FALSE;FALSE;TRUE;1;PEX5;Peroxisomal targeting signal 1 receptor
P50552;VASP;-0.0323;0.518;0.644;FALSE;FALSE;FALSE;0;VASP;Vasodilator-stimulated phosphoprotein
P50570;DNM2;0.0272;0.774;0.851;FALSE;FALSE;FALSE;0;DYN2;Dynamin-2
P50579;METAP2;0.69;5.32E-08;0.000000688;FALSE;FALSE;FALSE;0;MAP2;Methionine aminopeptidase 2
P50583;NUDT2;0.243;0.223;0.347;FALSE;FALSE;FALSE;0;AP4A;Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]
P50747;HLCS;-0.0959;0.548;0.671;FALSE;FALSE;FALSE;0;BPL1;Biotin--protein ligase
P50748;KNTC1;-0.237;0.202;0.322;FALSE;FALSE;FALSE;0;KNTC1;Kinetochore-associated protein 1
P50750;CDK9;0.06;0.568;0.687;FALSE;FALSE;FALSE;0;CDK9;Cyclin-dependent kinase 9
P50851;LRBA;-0.0716;0.437;0.571;FALSE;FALSE;FALSE;0;LRBA;Lipopolysaccharide-responsive and beige-like anchor protein
P50895;BCAM;0.344;0.00902;0.0255;FALSE;FALSE;FALSE;0;BCAM;Basal cell adhesion molecule
P50897;PPT1;-0.957;1.96E-10;5.48E-09;FALSE;FALSE;FALSE;0;PPT1;Palmitoyl-protein thioesterase 1
P50914;RPL14;-0.435;0.252;0.382;FALSE;FALSE;FALSE;0;RL14;Large ribosomal subunit protein eL14
P50990;CCT8;-0.0121;0.943;0.965;FALSE;FALSE;FALSE;0;TCPQ;T-complex protein 1 subunit theta
P50991;CCT4;0.00229;0.98;0.987;FALSE;FALSE;FALSE;0;TCPD;T-complex protein 1 subunit delta
P50995;ANXA11;0.608;8.87E-08;0.00000107;FALSE;FALSE;FALSE;0;ANX11;Annexin A11
P51003;PAPOLA;0.109;0.415;0.55;FALSE;FALSE;FALSE;0;PAPOA;Poly(A) polymerase alpha
P51114;FXR1;0.674;1.95E-13;1.40E-11;FALSE;FALSE;FALSE;0;FXR1;RNA-binding protein FXR1
P51116;FXR2;-0.528;2.75E-10;7.22E-09;FALSE;FALSE;FALSE;0;FXR2;RNA-binding protein FXR2
P51148;RAB5C;1.14;0.1;0.187;FALSE;FALSE;TRUE;5;RAB5C;Ras-related protein Rab-5C
P51149;RAB7A;-0.0581;0.717;0.809;FALSE;FALSE;FALSE;0;RAB7A;Ras-related protein Rab-7a
P51151;RAB9A;0.0802;0.353;0.488;FALSE;FALSE;FALSE;0;RAB9A;Ras-related protein Rab-9A
P51153;RAB13;-0.197;0.279;0.409;FALSE;FALSE;FALSE;0;RAB13;Ras-related protein Rab-13
P51159;RAB27A;-0.244;0.401;0.537;FALSE;FALSE;TRUE;8;RB27A;Ras-related protein Rab-27A
P51398;DAP3;-0.157;0.0846;0.164;FALSE;FALSE;FALSE;0;RT29;Small ribosomal subunit protein mS29
P51452;DUSP3;0.372;0.00000539;0.0000413;FALSE;FALSE;FALSE;0;DUS3;Dual specificity protein phosphatase 3
P51531;SMARCA2;0.191;0.474;0.605;FALSE;FALSE;TRUE;1;SMCA2;Probable global transcription activator SNF2L2
P51532;SMARCA4;0.0491;0.47;0.601;FALSE;FALSE;FALSE;0;SMCA4;Transcription activator BRG1
P51553;IDH3G;-0.28;0.0595;0.123;FALSE;FALSE;FALSE;0;IDH3G;Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial
P51570;GALK1;0.866;0.0000176;0.000119;FALSE;FALSE;FALSE;0;GALK1;Galactokinase
P51571;SSR4;-0.121;0.456;0.588;FALSE;FALSE;FALSE;0;SSRD;Translocon-associated protein subunit delta
P51572;BCAP31;-0.0127;0.795;0.866;FALSE;FALSE;FALSE;0;BAP31;B-cell receptor-associated protein 31
P51580;TPMT;0.154;0.0401;0.0888;FALSE;FALSE;FALSE;0;TPMT;Thiopurine S-methyltransferase
P51608;MECP2;0.227;0.0347;0.0789;FALSE;FALSE;FALSE;0;MECP2;Methyl-CpG-binding protein 2
P51610;HCFC1;-0.143;0.484;0.615;FALSE;FALSE;FALSE;0;HCFC1;Host cell factor 1
P51617;IRAK1;-0.166;0.0149;0.0387;FALSE;FALSE;FALSE;0;IRAK1;Interleukin-1 receptor-associated kinase 1
P51649;ALDH5A1;0.137;0.503;0.633;FALSE;FALSE;FALSE;0;SSDH;Succinate-semialdehyde dehydrogenase, mitochondrial
